workload,run_id,heartbeat,status,classification,server_remote_addr_count,netlog_target_quic_session_count,netlog_target_path_challenge_received,netlog_target_path_response_sent,netlog_target_path_validation_observed,qlog_path_challenge,qlog_path_response,qlog_path_validation_observed,proxy_switched,drop_a_server_after_switch,dropped_server_packets_a,dropped_server_bytes_a,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
downlink,chrome-h3-rebinding-drop-oldpath-downlink-20260624,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,0,0,17,27,26,35,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-drop-oldpath-downlink-20260624
upload,chrome-h3-rebinding-drop-oldpath-upload-20260624,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,2,1,1,true,1,1,true,true,true,21,1846,54,198,31,49,1,262144,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-drop-oldpath-upload-20260624
downlink,noheartbeat-r1,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,0,0,17,26,27,35,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/noheartbeat-r1
downlink,noheartbeat-r2,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,0,0,16,23,27,30,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/noheartbeat-r2
downlink,noheartbeat-r3,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,0,0,19,28,29,38,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/noheartbeat-r3
downlink,heartbeat-r1,heartbeat,PASS,nat_rebinding_multiple_quic_sessions,2,2,1,1,true,1,1,true,true,true,0,0,16,23,27,57,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/heartbeat-r1
downlink,heartbeat-r2,heartbeat,PASS,nat_rebinding_multiple_quic_sessions,2,2,1,1,true,1,1,true,true,true,0,0,16,20,27,55,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/heartbeat-r2
downlink,heartbeat-r3,heartbeat,PASS,nat_rebinding_multiple_quic_sessions,2,2,1,1,true,1,1,true,true,true,0,0,16,24,27,58,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-repetition-20260624/heartbeat-r3
upload,upload-r1,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,9,223,49,198,20,80,1,262144,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-old-path-drop-repetition-20260624/upload-r1
upload,upload-r2,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,14,349,52,198,26,68,1,262144,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-old-path-drop-repetition-20260624/upload-r2
upload,upload-r3,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,1,1,true,1,1,true,true,true,16,396,49,198,25,66,1,262144,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-old-path-drop-repetition-20260624/upload-r3
