profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-downlink-1m-drop-ab-4000ms,downlink,rep01-downlink-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,11834,,false,2,1,2,true,7,4,true,true,true,4000,4000,100,6,121971,7200,3780,45,135,193,756,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-downlink-1m-drop-ab-4000ms
rep01-upload-1m-drop-ab-4000ms,upload,rep01-upload-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10224,,false,2,1,2,true,7,4,true,true,true,4000,4000,48,6,1328,7200,3652,73,853,63,307,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-upload-1m-drop-ab-4000ms
rep01-downlink-1m-drop-ab-4500ms,downlink,rep01-downlink-1m-drop-ab-4500ms,1048576,16,8000,500ms,4500ms,4500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12091,,false,2,1,1,true,7,4,true,true,true,4500,4500,97,6,116241,7200,4042,38,133,163,753,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-downlink-1m-drop-ab-4500ms
rep01-upload-1m-drop-ab-4500ms,upload,rep01-upload-1m-drop-ab-4500ms,1048576,16,8000,500ms,4500ms,4500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10366,,false,2,1,1,true,7,4,true,true,true,4500,4500,53,6,2925,7200,3803,65,854,30,339,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-upload-1m-drop-ab-4500ms
rep01-downlink-1m-drop-ab-5000ms,downlink,rep01-downlink-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12095,,false,2,1,1,true,7,4,true,true,true,5000,5000,98,6,120484,7200,4045,37,125,165,754,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-downlink-1m-drop-ab-5000ms
rep01-upload-1m-drop-ab-5000ms,upload,rep01-upload-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6922,false,2,1,2,true,6,3,true,true,true,5000,5000,64,6,1779,7200,4739,68,89,37,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep01-upload-1m-drop-ab-5000ms
rep02-downlink-1m-drop-ab-4000ms,downlink,rep02-downlink-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,11245,,false,2,1,1,true,7,4,true,true,true,4000,4000,103,6,126288,7200,3113,37,122,114,763,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep02-downlink-1m-drop-ab-4000ms
rep02-upload-1m-drop-ab-4000ms,upload,rep02-upload-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10272,,false,2,1,1,true,7,4,true,true,true,4000,4000,57,6,3059,7200,3702,67,853,34,303,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep02-upload-1m-drop-ab-4000ms
rep02-downlink-1m-drop-ab-4500ms,downlink,rep02-downlink-1m-drop-ab-4500ms,1048576,16,8000,500ms,4500ms,4500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12179,,false,2,1,1,true,8,4,true,true,true,4500,4500,106,7,127198,8400,4124,37,128,147,778,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep02-downlink-1m-drop-ab-4500ms
rep02-upload-1m-drop-ab-4500ms,upload,rep02-upload-1m-drop-ab-4500ms,1048576,16,8000,500ms,4500ms,4500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10302,,false,2,1,1,true,7,4,true,true,true,4500,4500,58,6,1610,7200,3730,68,854,33,293,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-boundary-repetition-20260624/rep02-upload-1m-drop-ab-4500ms
