profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
downlink-1m-drop-ab-250ms,downlink,downlink-1m-drop-ab-250ms,1048576,16,8000,500ms,250ms,250,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,8056,,false,2,1,1,true,4,3,true,true,true,250,250,4,2,110,2400,176,38,112,212,597,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-250ms
upload-1m-drop-ab-250ms,upload,upload-1m-drop-ab-250ms,1048576,16,8000,500ms,250ms,250,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,7549,,false,2,1,1,true,4,3,true,true,true,250,250,28,2,724,2400,218,68,853,70,290,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-250ms
downlink-1m-drop-ab-1500ms,downlink,downlink-1m-drop-ab-1500ms,1048576,16,8000,500ms,1500ms,1500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,8804,,false,2,1,1,true,6,4,true,true,true,1500,1500,93,5,107252,6000,1444,37,123,259,551,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-1500ms
upload-1m-drop-ab-1500ms,upload,upload-1m-drop-ab-1500ms,1048576,16,8000,500ms,1500ms,1500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,7545,,false,2,1,1,true,5,4,true,true,true,1500,1500,51,4,1365,4800,1425,66,852,30,307,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-1500ms
downlink-1m-drop-ab-3000ms,downlink,downlink-1m-drop-ab-3000ms,1048576,16,8000,500ms,3000ms,3000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10168,,false,2,1,1,true,7,4,true,true,true,3000,3000,100,6,121966,7200,2114,38,132,167,755,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-3000ms
upload-1m-drop-ab-3000ms,upload,upload-1m-drop-ab-3000ms,1048576,16,8000,500ms,3000ms,3000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,9167,,false,2,1,1,true,6,4,true,true,true,3000,3000,42,5,1171,6000,2848,68,852,40,327,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-3000ms
downlink-1m-drop-ab-4000ms,downlink,downlink-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,11309,,false,2,1,1,true,7,4,true,true,true,4000,4000,105,6,126150,7200,3136,37,121,106,773,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-4000ms
upload-1m-drop-ab-4000ms,upload,upload-1m-drop-ab-4000ms,1048576,16,8000,500ms,4000ms,4000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10206,,false,2,1,1,true,7,4,true,true,true,4000,4000,57,6,1588,7200,3644,66,852,34,338,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-4000ms
downlink-1m-drop-ab-5000ms,downlink,downlink-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6929,false,2,1,2,true,6,3,true,true,true,5000,5000,116,6,130343,7200,4928,42,34,129,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-5000ms
upload-1m-drop-ab-5000ms,upload,upload-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6920,false,2,1,2,true,6,3,true,true,true,5000,5000,65,6,3264,7200,4721,64,90,29,15,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-5000ms
downlink-1m-drop-ab-6000ms,downlink,downlink-1m-drop-ab-6000ms,1048576,16,8000,500ms,6000ms,6000,FAIL,browser_application_task_failed,false,,6922,false,2,1,1,true,7,3,true,true,true,6000,6000,103,7,124886,8400,5121,37,32,112,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-6000ms
upload-1m-drop-ab-6000ms,upload,upload-1m-drop-ab-6000ms,1048576,16,8000,500ms,6000ms,6000,FAIL,browser_application_task_failed,false,,6918,false,2,1,2,true,6,3,true,true,true,6000,6000,59,6,3083,7200,4620,65,90,32,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-6000ms
downlink-1m-drop-ab-9000ms,downlink,downlink-1m-drop-ab-9000ms,1048576,16,8000,500ms,9000ms,9000,FAIL,browser_application_task_failed,false,,6927,false,2,1,1,true,7,3,true,true,true,9000,9000,106,7,129211,8400,5258,39,32,115,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/downlink-1m-drop-ab-9000ms
upload-1m-drop-ab-9000ms,upload,upload-1m-drop-ab-9000ms,1048576,16,8000,500ms,9000ms,9000,FAIL,browser_application_task_failed,false,,11122,false,2,1,3,true,6,3,true,true,true,9000,9000,60,23,4415,14873,8416,73,197,33,118,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-return-path-sweep-20260624/upload-1m-drop-ab-9000ms
