profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-upload-1m-drop-ab-4600ms,upload,rep01-upload-1m-drop-ab-4600ms,1048576,16,8000,500ms,4600ms,4600,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10218,,false,2,1,1,true,7,4,true,true,true,4600,4600,48,6,1285,7200,3641,71,849,44,341,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep01-upload-1m-drop-ab-4600ms
rep01-upload-1m-drop-ab-4750ms,upload,rep01-upload-1m-drop-ab-4750ms,1048576,16,8000,500ms,4750ms,4750,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,11261,,false,2,1,1,true,7,4,true,true,true,4750,4750,54,6,1527,7200,3949,68,853,43,327,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep01-upload-1m-drop-ab-4750ms
rep01-upload-1m-drop-ab-4900ms,upload,rep01-upload-1m-drop-ab-4900ms,1048576,16,8000,500ms,4900ms,4900,FAIL,browser_application_task_failed,false,,6922,false,2,1,2,true,6,3,true,true,true,4900,4900,64,6,3238,7200,4753,68,92,33,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep01-upload-1m-drop-ab-4900ms
rep01-upload-1m-drop-ab-5000ms,upload,rep01-upload-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6920,false,2,1,2,true,6,3,true,true,true,5000,5000,60,6,3117,7200,4636,65,89,32,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep01-upload-1m-drop-ab-5000ms
rep02-upload-1m-drop-ab-4600ms,upload,rep02-upload-1m-drop-ab-4600ms,1048576,16,8000,500ms,4600ms,4600,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10230,,false,2,1,1,true,7,4,true,true,true,4600,4600,52,6,1473,7200,3668,66,852,33,297,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep02-upload-1m-drop-ab-4600ms
rep02-upload-1m-drop-ab-4750ms,upload,rep02-upload-1m-drop-ab-4750ms,1048576,16,8000,500ms,4750ms,4750,FAIL,browser_application_task_failed,false,,6917,false,2,1,2,true,6,3,true,true,true,4750,4750,57,6,1564,7200,4720,69,77,37,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep02-upload-1m-drop-ab-4750ms
rep02-upload-1m-drop-ab-4900ms,upload,rep02-upload-1m-drop-ab-4900ms,1048576,16,8000,500ms,4900ms,4900,FAIL,browser_application_task_failed,false,,6922,false,2,1,2,true,6,3,true,true,true,4900,4900,64,6,3239,7200,4692,68,91,34,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep02-upload-1m-drop-ab-4900ms
rep02-upload-1m-drop-ab-5000ms,upload,rep02-upload-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6918,false,2,1,2,true,6,3,true,true,true,5000,5000,52,6,2884,7200,4614,66,91,28,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep02-upload-1m-drop-ab-5000ms
rep03-upload-1m-drop-ab-4600ms,upload,rep03-upload-1m-drop-ab-4600ms,1048576,16,8000,500ms,4600ms,4600,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10215,,false,2,1,1,true,7,4,true,true,true,4600,4600,55,6,1513,7200,3646,69,852,44,307,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep03-upload-1m-drop-ab-4600ms
rep03-upload-1m-drop-ab-4750ms,upload,rep03-upload-1m-drop-ab-4750ms,1048576,16,8000,500ms,4750ms,4750,FAIL,browser_application_task_failed,false,,6921,false,2,1,2,true,6,3,true,true,true,4750,4750,65,6,1813,7200,4681,66,85,39,9,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep03-upload-1m-drop-ab-4750ms
rep03-upload-1m-drop-ab-4900ms,upload,rep03-upload-1m-drop-ab-4900ms,1048576,16,8000,500ms,4900ms,4900,FAIL,browser_application_task_failed,false,,6919,false,2,1,2,true,6,3,true,true,true,4900,4900,56,6,3030,7200,4810,65,97,25,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep03-upload-1m-drop-ab-4900ms
rep03-upload-1m-drop-ab-5000ms,upload,rep03-upload-1m-drop-ab-5000ms,1048576,16,8000,500ms,5000ms,5000,FAIL,browser_application_task_failed,false,,6917,false,2,1,2,true,6,3,true,true,true,5000,5000,61,6,1719,7200,4754,68,89,35,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-fine-boundary-20260624/rep03-upload-1m-drop-ab-5000ms
