trial_id,status,source_classification,trigger_class,workload,application_success,client_active_path_changed,target_tuple_changed,path_validation_observed,contract_class,claim_strength,paper_use,missing_strong_cm_gates
controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-001,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-002,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-full-nochange-fresh-20260629-001,PASS,controlled_public_application_h3_confirmed,nochange_baseline,downlink,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
controlled-public-chrome-downlink-heartbeat-network-change-20260629-001,PASS_NEGATIVE_CONTROL,no_client_active_path_change_observed,active_network_change,downlink,False,False,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;client_active_path_changed;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-heartbeat-nochange-20260629-001,PASS,controlled_public_application_h3_confirmed,nochange_baseline,downlink,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
controlled-public-chrome-downlink-noheartbeat-network-change-20260629-001,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-noheartbeat-network-change-20260629-002,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-noheartbeat-network-change-20260629-003,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-noheartbeat-network-change-page-ready-20260629-001,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,downlink,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-downlink-noheartbeat-nochange-20260629-003,PASS,controlled_public_application_h3_confirmed,nochange_baseline,downlink,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
controlled-public-chrome-fresh-origin-smoke-20260629-005,PASS,controlled_public_application_h3_confirmed,nochange_baseline,origin_smoke,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-001,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,byte_range_download,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-002,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,byte_range_download,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-range-noretry-nochange-fresh-20260629-001,PASS,controlled_public_application_h3_confirmed,nochange_baseline,byte_range_download,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-001,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,active_network_change,byte_range_download,True,True,True,False,application_recovery_or_reconnect,task_recovery_not_cm,use_as_task_completion_without_cm_success,server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-002,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,active_network_change,byte_range_download,False,True,False,False,negative_control_record,gap_or_negative_control,use_as_negative_or_gap_evidence,application_completion_metric_true;server_target_h3_tuple_changed;server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-003,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,active_network_change,byte_range_download,True,True,True,False,application_recovery_or_reconnect,task_recovery_not_cm,use_as_task_completion_without_cm_success,server_qlog_path_validation;chrome_single_target_quic_session
controlled-public-chrome-range-retry-nochange-fresh-20260629-001,PASS,controlled_public_application_h3_confirmed,nochange_baseline,byte_range_download,True,False,False,False,public_h3_baseline_positive,baseline_only,use_as_public_h3_baseline,
