scan_date,url,curl_exit,final_status,has_h3_alt_svc,alt_svc_headers,server_headers,location_headers,error
2026-06-24,https://www.google.com/generate_204,0,HTTP/2 204,True,"h3="":443""; ma=2592000,h3-29="":443""; ma=2592000",,,
2026-06-24,https://www.youtube.com/generate_204,0,HTTP/2 204,True,"h3="":443""; ma=2592000,h3-29="":443""; ma=2592000",,,
2026-06-24,https://cloudflare-quic.com/cdn-cgi/trace,0,HTTP/2 404,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://www.cloudflare.com/cdn-cgi/trace,0,HTTP/2 404,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://www.cloudflare.com/,0,HTTP/2 200,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://blog.cloudflare.com/,0,HTTP/2 200,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://www.facebook.com/,0,HTTP/2 200,True,"h3="":443""; ma=86400",,,
2026-06-24,https://www.instagram.com/,0,HTTP/2 200,True,"h3="":443""; ma=86400",,,
2026-06-24,https://www.tiktok.com/,0,HTTP/2 200,False,,TLB,,
2026-06-24,https://www.bing.com/,0,HTTP/2 200,True,"h3="":443""; ma=93600",,,
2026-06-24,https://www.microsoft.com/,0,HTTP/2 200,False,,AkamaiGHost,,
2026-06-24,https://openai.com/,0,HTTP/2 403,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://chatgpt.com/,0,HTTP/2 403,True,"h3="":443""; ma=86400",cloudflare,,
2026-06-24,https://www.apple.com/,0,HTTP/2 200,False,,Apple,,
2026-06-24,https://www.netflix.com/,0,HTTP/2 405,False,,envoy,,
2026-06-24,https://www.wikipedia.org/,0,HTTP/2 200,False,,ATS/9.2.13,,
2026-06-24,https://www.amazon.com/,0,HTTP/2 503,True,"h3="":443""; ma=86400",Server,,
2026-06-24,https://github.com/,0,HTTP/2 200,False,,github.com,,
2026-06-24,https://www.naver.com/,0,HTTP/2 200,False,,nfront,,
2026-06-24,https://www.kakao.com/,0,HTTP/2 200,False,,,//www.kakaocorp.com | https://www.kakaocorp.com/page/,
