order,source,clock,time_ms,wall_time,event,path_tuple,evidence_file,evidence_line,interpretation
1,client-log,wall,0.000,2026-06-22T11:43:39.140335000Z,connect_start,"0.0.0.0:53238 -> 127.0.0.1:4443",experiments/quiche-local/artifacts/logs/client.log,1,Initial client UDP tuple before migration.
2,server-log,wall,6.299,2026-06-22T11:43:39.146634000Z,server_seen_new_path,"127.0.0.1:4443 <- 127.0.0.1:61867",experiments/quiche-local/artifacts/logs/server.log,3,Server detected the second client path.
3,client-qlog,client-relative-qlog,6.293,,client_path_challenge_sent,"0.0.0.0:61867 -> 127.0.0.1:4443",experiments/quiche-local/artifacts/qlog/client-2ca737275c5fb4cfb23368c64e90ddfcbcc384f1.sqlog,21,Client probes the new path with PATH_CHALLENGE.
4,server-qlog,server-relative-qlog,4.792,,server_path_challenge_received,"127.0.0.1:4443 <- 127.0.0.1:61867",experiments/quiche-local/artifacts/qlog/server-1415b10aefffd5e99d53dd2a1315898f4f52a604.sqlog,39,Server receives the client's PATH_CHALLENGE on the new path.
5,server-qlog,server-relative-qlog,4.955,,server_path_response_and_challenge_sent,"127.0.0.1:4443 -> 127.0.0.1:61867",experiments/quiche-local/artifacts/qlog/server-1415b10aefffd5e99d53dd2a1315898f4f52a604.sqlog,45,Server sends PATH_RESPONSE and challenges the reverse path.
6,client-qlog,client-relative-qlog,6.736,,client_path_response_and_challenge_received,"0.0.0.0:61867 <- 127.0.0.1:4443",experiments/quiche-local/artifacts/qlog/client-2ca737275c5fb4cfb23368c64e90ddfcbcc384f1.sqlog,26,Client receives PATH_RESPONSE and server PATH_CHALLENGE.
7,client-qlog,client-relative-qlog,7.015,,client_path_response_sent,"0.0.0.0:61867 -> 127.0.0.1:4443",experiments/quiche-local/artifacts/qlog/client-2ca737275c5fb4cfb23368c64e90ddfcbcc384f1.sqlog,29,Client answers the server's reverse path validation challenge.
8,server-qlog,server-relative-qlog,5.438,,server_path_response_received,"127.0.0.1:4443 <- 127.0.0.1:61867",experiments/quiche-local/artifacts/qlog/server-1415b10aefffd5e99d53dd2a1315898f4f52a604.sqlog,49,Server receives PATH_RESPONSE for the reverse validation challenge.
9,client-log,wall,6.748,2026-06-22T11:43:39.147083000Z,client_new_path_validated,"0.0.0.0:61867 -> 127.0.0.1:4443",experiments/quiche-local/artifacts/logs/client.log,2,Client log marks the new path as validated.
10,server-log,wall,6.885,2026-06-22T11:43:39.147220000Z,server_new_path_validated,"127.0.0.1:4443 <- 127.0.0.1:61867",experiments/quiche-local/artifacts/logs/server.log,4,Server log marks the new path as validated.
11,server-log,wall,6.913,2026-06-22T11:43:39.147248000Z,server_connection_migrated,"127.0.0.1:4443 <- 127.0.0.1:61867",experiments/quiche-local/artifacts/logs/server.log,5,Server marks the connection migrated to the new path.
12,server-log,wall,7.676,2026-06-22T11:43:39.148011000Z,http3_request_received_after_migration,"127.0.0.1:4443 <- active peer 127.0.0.1:61867",experiments/quiche-local/artifacts/logs/server.log,6,HTTP/3 request is processed after the migration event.
13,client-log,wall,8.480,2026-06-22T11:43:39.148815000Z,client_response_complete,"active path 0.0.0.0:61867",experiments/quiche-local/artifacts/logs/client.log,4,Client receives the response successfully.
14,client-log,wall,14.312,2026-06-22T11:43:39.154647000Z,client_connection_closed_with_active_new_path,"active=0.0.0.0:61867",experiments/quiche-local/artifacts/logs/client.log,5,Final client stats show the old path inactive and the new path active.
15,server-log,wall,14.331,2026-06-22T11:43:39.154666000Z,server_connection_collected_with_active_new_path,"active peer=127.0.0.1:61867",experiments/quiche-local/artifacts/logs/server.log,8,Final server stats show the migrated path active.
